Ques No.,ACC No,Member asking,PARTY,Executive,Date of publication,Due Date,Date replied to,Response,Status,NOTES,
3865,NW4414E,Dr D C Christians ,DA ,Basic Education,"Friday, June, 20, 2025","Friday, July 04, 2025","Friday, July 11, 2025",Late,A,,
3866,NW4415E,Dr D C Christians ,DA ,Basic Education,"Friday, June, 20, 2025","Friday, July 04, 2025","Friday, July 11, 2025",Late,A,,
3867,NW4416E,Dr D C Christians ,DA ,Basic Education,"Friday, June, 20, 2025","Friday, July 04, 2025","Thursday, July 17, 2025",Late,A,,
3868,NW4417E,Ms E L Powell ,DA  ,President of the Republic,"Friday, June, 20, 2025","Friday, July 04, 2025","Friday, August 01, 2025",Late,A,,
3869,NW4418E,Mr T R Ramongalo ,DA ,"Sport, Arts and Culture","Friday, June, 20, 2025","Friday, July 04, 2025","Monday, July 07, 2025",Late,A,,
3870,NW4420E,Mr W A S Aucamp ,DA ,Home Affairs,"Friday, June, 20, 2025","Friday, July 04, 2025","Monday, August 11, 2025",Late,A,,
3871,NW4421E,Mr W A S Aucamp ,DA ,"Sport, Arts and Culture","Friday, June, 20, 2025","Friday, July 04, 2025","Monday, July 21, 2025",Late,A,,
3872,NW4422E,Dr K W D P le Roux ,DA ,Health,"Friday, June, 20, 2025","Friday, July 04, 2025","Monday, July 07, 2025",Late,A,,
3873,NW4423E,Dr K W D P le Roux ,DA ,Health,"Friday, June, 20, 2025","Friday, July 04, 2025","Monday, July 07, 2025",Late,A,,
3874,NW4424E,Ms A M van Zyl ,DA ,Cooperative Governance and Traditional Affairs,"Friday, June, 20, 2025","Friday, July 04, 2025","Friday, July 04, 2025",Timeous,A,,
3875,NW4425E,Ms E L Powell ,DA ,"Trade, Industry and Competition","Friday, June, 20, 2025","Friday, July 04, 2025","Friday, July 11, 2025",Late,A,,
3876,NW4426E,Ms E L Powell ,DA ,"Trade, Industry and Competition","Friday, June, 20, 2025","Friday, July 04, 2025","Friday, July 11, 2025",Late,A,,
3877,NW4427E,Mr A D de Blocq van Sheltinga ,DA ,"Forestry, Fisheries and the Environment","Friday, June, 20, 2025","Friday, July 04, 2025","Tuesday, July 08, 2025",Late,A,,
3878,NW4428E,Mr A D de Blocq van Sheltinga ,DA ,"Forestry, Fisheries and the Environment","Friday, June, 20, 2025","Friday, July 04, 2025","Tuesday, July 08, 2025",Late,A,,
3879,NW4429E,Mr A D de Blocq van Sheltinga ,DA ,Public Works and Infrastructure,"Friday, June, 20, 2025","Friday, July 04, 2025","Tuesday, July 01, 2025",Timeous,A,,
3880,NW4430E,Mr C H H Hunsinger ,DA ,Transport,"Friday, June, 20, 2025","Friday, July 04, 2025","Thursday, July 03, 2025",Timeous,A,,
3881,NW4431E,Mr C H H Hunsinger ,DA ,Transport,"Friday, June, 20, 2025","Friday, July 04, 2025","Thursday, July 03, 2025",Timeous,A,,
3882,NW4432E,Mr M Bargraim ,DA ,Employment and Labour,"Friday, June, 20, 2025","Friday, July 04, 2025","Thursday, July 10, 2025",Late,A,,
3883,NW4434E,Ms Z S Abader ,MK ,International Relations and Cooperation ,"Friday, June, 20, 2025","Friday, July 04, 2025","Tuesday, July 15, 2025",Late,A,,
3884,NW4435E,Ms D Ntshaba ,MK ,Small Business Development,"Friday, June, 20, 2025","Friday, July 04, 2025","Monday, August 18, 2025",Late,A,,
3885,NW4436E,Ms P P Mngadi ,MK ,Basic Education,"Friday, June, 20, 2025","Friday, July 04, 2025","Thursday, July 17, 2025",Late,A,,
3886,NW4437E,Ms N A Mtshweni ,MK ,"Sport, Arts and Culture","Friday, June, 20, 2025","Friday, July 04, 2025","Thursday, July 31, 2025",Late,A,,
3887,NW4438E,Mr V G Reddy ,MK ,Water and Sanitation,"Friday, June, 20, 2025","Friday, July 04, 2025","Tuesday, July 08, 2025",Late,A,,
3888,NW4439E,Mr V G Reddy ,MK ,Cooperative Governance and Traditional Affairs,"Friday, June, 20, 2025","Friday, July 04, 2025","Friday, July 04, 2025",Timeous,A,,
3889,NW4440E,Ms M C Mafagane ,MK ,Cooperative Governance and Traditional Affairs,"Friday, June, 20, 2025","Friday, July 04, 2025","Tuesday, July 08, 2025",Late,A,,
3890,NW4441E,Ms G Mchunu ,MK ,"Sport, Arts and Culture","Friday, June, 20, 2025","Friday, July 04, 2025","Tuesday, July 15, 2025",Late,A,,
3891,NW4442E,Mr G E Kobane ,MK ,"Sport, Arts and Culture","Friday, June, 20, 2025","Friday, July 04, 2025","Tuesday, July 15, 2025",Late,A,,
3892,NW4443E,Rev N B Gcwabaza ,MK ,Social Development,"Friday, June, 20, 2025","Friday, July 04, 2025","Monday, July 14, 2025",Late,A,,
3893,NW4444E,Ms H N Mbele ,MK ,Employment and Labour,"Friday, June, 20, 2025","Friday, July 04, 2025","Thursday, July 10, 2025",Late,A,,
3894,NW4445E,Ms M Rweqana ,MK ,"Women, Youth and Persons with Disabilities","Friday, June, 20, 2025","Friday, July 04, 2025","Monday, June 30, 2025",Timeous,A,,
3895,NW4446E,Mr A T Themba ,MK ,"Forestry, Fisheries and the Environment","Friday, June, 20, 2025","Friday, July 04, 2025","Tuesday, July 08, 2025",Late,A,,
3896,NW4447E,Mr S P Mkhize ,MK ,"Forestry, Fisheries and the Environment","Friday, June, 20, 2025","Friday, July 04, 2025","Tuesday, July 08, 2025",Late,A,,
3897,NW4448E,Mr K B Madlala ,MK ,Agriculture,"Friday, June, 20, 2025","Friday, July 04, 2025","Monday, June 30, 2025",Timeous,A,,
3898,NW4449E,Mr J A Mngxitam ,MK ,Land Reform and Rural Development,"Friday, June, 20, 2025","Friday, July 04, 2025","Monday, August 04, 2025",Late,A,,
3899,NW4450E,Mr M P Motubatse ,MK ,Transport,"Friday, June, 20, 2025","Friday, July 04, 2025","Thursday, July 03, 2025",Timeous,A,,
3900,NW4451E,Ms L M Ngobeni ,ActionSA  ,Minister in The Presidency,"Friday, June, 20, 2025","Friday, July 04, 2025","Tuesday, December 30, 2025",Late,A,,
3901,NW4452E,Ms M Rweqana ,MK ,"Women, Youth and Persons with Disabilities","Friday, June, 20, 2025","Friday, July 04, 2025","Monday, July 14, 2025",Late,A,,
3902,NW3843E,Ms S Gcilishe ,EFF ,Mineral and Petroleum Resources,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 11, 2025",Timeous,A,,
3903,NW4137E,Mr C G Niehaus ,EFF ,Defence and Military Veterans,"Friday, June, 27, 2025","Friday, July 11, 2025","Wednesday, July 23, 2025",Late,A,,
3904,NW4141E,Ms S Gcilishe ,EFF ,Finance,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 24, 2025",Late,A,,
3905,NW4142E,Ms S Gcilishe ,EFF ,International Relations and Cooperation,"Friday, June, 27, 2025","Friday, July 11, 2025","Wednesday, July 09, 2025",Timeous,A,,
3906,NW4281E,Dr W J Boshoff ,FF Plus ,Mineral and Petroleum Resources,"Friday, June, 27, 2025","Friday, July 11, 2025","Wednesday, July 09, 2025",Late,A,,
3907,NW4282E,Dr W J Boshoff ,FF Plus ,Electricity and Energy,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, August 01, 2025",Late,A,,
3908,NW4283E,Dr W J Boshoff ,FF Plus ,"Forestry, Fisheries and the Environment","Friday, June, 27, 2025","Friday, July 11, 2025","Monday, July 21, 2025",Late,A,,
3909,NW4316E,Mr C G Niehaus ,EFF ,Basic Education,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
3910,NW4317E,Mr C G Niehaus ,EFF ,Defence and Military Veterans,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
3911,NW4320E,Ms N Tafeni ,EFF ,Social Development,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 18, 2025",Late,A,,
3912,NW4331E,Ms N R Mashabela ,EFF ,Tourism,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 10, 2025",Timeous,A,,
3913,NW4332E,Ms N R Mashabela ,EFF ,Tourism,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 10, 2025",Timeous,A,,
3914,NW4333E,Ms N R Mashabela ,EFF ,Tourism,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 10, 2025",Timeous,A,,
3915,NW4344E,Ms P Marais ,EFF ,Police,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, August 01, 2025",Late,A,,
3916,NW4349E,Mr T P Mogale ,EFF ,Police,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, August 14, 2025",Late,A,,
3917,NW4358E,Ms N M Mhlongo ,EFF ,Basic Education,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
3918,NW4359E,Ms N M Mhlongo ,EFF ,International Relations and Cooperation,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 11, 2025",Timeous,A,,
3919,NW4364E,Mr M K Montwedi ,EFF ,Small Business Development,"Friday, June, 27, 2025","Friday, July 11, 2025",REMOVED,R,R,Member resigned,
3920,NW4365E,Mr M K Montwedi ,EFF ,Health,"Friday, June, 27, 2025","Friday, July 11, 2025",REMOVED,R,R,Member resigned,
3921,NW4366E,Mr M K Montwedi ,EFF ,Agriculture,"Friday, June, 27, 2025","Friday, July 11, 2025",REMOVED,R,R,Member resigned,
3922,NW4369E,Mr V Pambo ,EFF ,Police,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 11, 2025",Timeous,A,,
3923,NW4408E,Ms A L A Abrahams ,DA ,Social Development,"Friday, June, 27, 2025","Friday, July 11, 2025","Wednesday, July 16, 2025",Late,A,,
3924,NW4453E,Mrs H Denner ,FF Plus ,Employment and Labour,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 18, 2025",Late,A,,
3925,NW4454E,Mrs H Denner,FF Plus ,Communications and Digital Technologies,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, August 08, 2025",Late,A,,
3926,NW4455E,Mrs H Denner ,FF Plus ,Employment and Labour,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 18, 2025",Late,A,,
3927,NW4456E,Mr W W Wessels ,FF Plus ,Cooperative Governance and Traditional Affairs,"Friday, June, 27, 2025","Friday, July 11, 2025","Tuesday, July 08, 2025",Timeous,A,,
3928,NW4457E,Mr W W Wessels ,FF Plus ,Defence and Military Veterans,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, August 14, 2025",Late,A,,
3929,NW4458E,Mr W W Wessels ,FF Plus ,Finance,"Friday, June, 27, 2025","Friday, July 11, 2025","Wednesday, July 30, 2025",Late,A,,
3930,NW4459E,Mr P A van Staden ,FF Plus ,Health,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
3931,NW4460E,Mr P A van Staden ,FF Plus ,Home Affairs,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 10, 2025",Timeous,A,,
3932,NW4461E,Mr P A van Staden ,FF Plus ,Human Settlements,"Friday, June, 27, 2025","Friday, July 11, 2025","Wednesday, August 13, 2025",Late,A,,
3933,NW4462E,Mr S M Gana ,Rise Mzansi ,Agriculture,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 04, 2025",Timeous,A,,
3934,NW4463E,Mr S S Zibi ,Rise Mzansi ,Basic Education,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, September 11, 2025",Late,A,,
3935,NW4464E,Mr S S Zibi ,Rise Mzansi ,Communications and Digital Technologies,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, August 15, 2025",Late,A,,
3936,NW4465E,Mr S S Zibi ,Rise Mzansi ,"Forestry, Fisheries and the Environment","Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
3937,NW4466E,Mr S M Gana ,Rise Mzansi ,Home Affairs,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 18, 2025",Late,A,,
3938,NW4467E,Mr S M Gana ,Rise Mzansi,Public Works and Infrastructure,"Friday, June, 27, 2025","Friday, July 11, 2025","Tuesday, August 19, 2025",Late,A,,
3939,NW4468E,Ms T L Marawu ,ATM ,Basic Education,"Friday, June, 27, 2025","Friday, July 11, 2025","Monday, July 28, 2025",Late,A,,
3940,NW4469E,Ms T L Marawu ,ATM ,Public Service and Administration,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, September 05, 2025",Late,A,,
3941,NW4470E,Ms O M C Maotwe ,EFF ,Transport,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 11, 2025",Timeous,A,,
3942,NW4471E,Ms P P Mailola ,EFF ,Public Works and Infrastructure,"Friday, June, 27, 2025","Friday, July 11, 2025","Monday, July 14, 2025",Late,A,,
3943,NW4472E,Ms E N Ntlangwini ,EFF ,Mineral and Petroleum Resources,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
3944,NW4473E,Ms E N Ntlangwini ,EFF ,Mineral and Petroleum Resources,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 11, 2025",Timeous,A,,
3945,NW4474E,Ms N V Mente-Nkuna ,EFF  ,Deputy President,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 11, 2025",Timeous,A,,
3946,NW4475E,Mr S Thambo ,EFF ,Defence and Military Veterans,"Friday, June, 27, 2025","Friday, July 11, 2025","Wednesday, July 23, 2025",Late,A,,
3947,NW4479E,Ms N Tafeni ,EFF ,Social Development,"Friday, June, 27, 2025","Friday, July 11, 2025","Tuesday, July 01, 2025",Timeous,A,,
3948,NW4480E,Ms N Tafeni ,EFF ,Social Development,"Friday, June, 27, 2025","Friday, July 11, 2025","Monday, July 14, 2025",Late,A,,
3949,NW4482E,Ms M S Letlape ,EFF ,Public Works and Infrastructure,"Friday, June, 27, 2025","Friday, July 11, 2025","Wednesday, July 23, 2025",Late,A,,
3950,NW4483E,Ms M S Letlape ,EFF ,Public Works and Infrastructure,"Friday, June, 27, 2025","Friday, July 11, 2025","Monday, July 14, 2025",Late,A,,
3951,NW4485E,Ms M S Khawula ,EFF ,Basic Education,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
3952,NW4486E,Ms M S Khawula ,EFF ,Basic Education,"Friday, June, 27, 2025","Friday, July 11, 2025","Monday, July 28, 2025",Late,A,,
3953,NW4487E,Ms L Managa ,EFF ,"Forestry, Fisheries and the Environment","Friday, June, 27, 2025","Friday, July 11, 2025","Wednesday, July 23, 2025",Late,A,,
3954,NW4488E,Ms L Managa ,EFF ,"Forestry, Fisheries and the Environment","Friday, June, 27, 2025","Friday, July 11, 2025","Wednesday, July 23, 2025",Late,A,,
3955,NW4489E,Ms L Managa ,EFF ,"Forestry, Fisheries and the Environment","Friday, June, 27, 2025","Friday, July 11, 2025","Monday, August 18, 2025",Late,A,,
3956,NW4493E,Ms B Mathulelwa ,EFF ,Communications and Digital Technologies,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, September 19, 2025",Late,A,,
3957,NW4494E,Mrs L F Tito ,EFF  ,Minister in The Presidency,"Friday, June, 27, 2025","Friday, July 11, 2025","Wednesday, October 08, 2025",Late,A,,
3958,NW4495E,Mrs L F Tito ,EFF ,Health,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
3959,NW4496E,Dr S S Thembekwayo ,EFF ,"Science, Technology and Innovation","Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
3960,NW4497E,Dr S S Thembekwayo ,EFF ,"Science, Technology and Innovation","Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 18, 2025",Late,A,,
3961,NW4498E,Dr S S Thembekwayo ,EFF ,"Science, Technology and Innovation","Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 18, 2025",Late,A,,
3962,NW4499E,Ms M R Mohlala ,EFF ,Justice and Constitutional Development,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 18, 2025",Late,A,,
3963,NW4500E,Ms M R Mohlala ,EFF ,Justice and Constitutional Development,"Friday, June, 27, 2025","Friday, July 11, 2025","Tuesday, July 15, 2025",Late,A,,
3964,NW4501E,Ms M R Mohlala ,EFF ,Justice and Constitutional Development,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
3965,NW4502E,Ms T J Mokwele ,EFF ,Justice and Constitutional Development,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
3966,NW4503E,Ms B K Diale ,EFF ,Correctional Services,"Friday, June, 27, 2025","Friday, July 11, 2025","Wednesday, July 09, 2025",Timeous,A,,
3967,NW4504E,Ms B K Diale ,EFF ,Correctional Services,"Friday, June, 27, 2025","Friday, July 11, 2025","Wednesday, July 09, 2025",Timeous,A,,
3968,NW4505E,Ms B K Diale ,EFF ,Correctional Services,"Friday, June, 27, 2025","Friday, July 11, 2025","Wednesday, July 09, 2025",Timeous,A,,
3969,NW4506E,Ms C N Mkhonto ,EFF ,Finance,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, September 05, 2025",Late,A,,
3970,NW4507E,Mr M Shikwambana ,EFF ,Higher Education,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 18, 2025",Late,A,,
3971,NW4508E,Mr M Shikwambana ,EFF ,Higher Education,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 18, 2025",Late,A,,
3972,NW4509E,Mr L M Komane ,EFF ,Home Affairs,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 10, 2025",Timeous,A,,
3973,NW4510E,Mr L M Komane ,EFF ,Home Affairs,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 10, 2025",Timeous,A,,
3974,NW4511E,Mr L M Komane ,EFF ,Home Affairs,"Friday, June, 27, 2025","Friday, July 11, 2025","Tuesday, July 29, 2025",Late,A,,
3975,NW4512E,Mr C Matiwane ,EFF ,"Planning, Monitoring and Evaluation","Friday, June, 27, 2025","Friday, July 11, 2025","Wednesday, July 16, 2025",Late,A,,
3976,NW4516E,Mr T P Mogale ,EFF ,"Sport, Arts and Culture","Friday, June, 27, 2025","Friday, July 11, 2025","Wednesday, July 02, 2025",Timeous,A,,
3977,NW4517E,Mr T P Mogale ,EFF ,Public Service and Administration,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 10, 2025",Timeous,A,,
3978,NW4519E,Ms P Marais ,EFF ,Police,"Friday, June, 27, 2025","Friday, July 11, 2025","Tuesday, July 22, 2025",Late,A,,
3979,NW4520E,Ms P Marais ,EFF ,Health,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
3980,NW4525E,Mr M B Blose ,EFF ,Finance,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 04, 2025",Timeous,A,,
3981,NW4526E,Mr M B Blose ,EFF ,Transport,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 11, 2025",Timeous,A,,
3982,NW4527E,Mr M B Blose ,EFF ,Police,"Friday, June, 27, 2025","Friday, July 11, 2025","Tuesday, August 26, 2025",Late,A,,
3983,NW4528E,Mr V Pambo ,EFF ,"Sport, Arts and Culture","Friday, June, 27, 2025","Friday, July 11, 2025","Monday, July 07, 2025",Timeous,A,,
3984,NW4529E,Mr V Pambo ,EFF ,Water and Sanitation,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 24, 2025",Late,A,,
3985,NW4530E,Mr M N Paulsen ,EFF ,Electricity and Energy,"Friday, June, 27, 2025","Friday, July 11, 2025","Monday, July 21, 2025",Late,A,,
3986,NW4531E,Mr M N Paulsen ,EFF ,Electricity and Energy,"Friday, June, 27, 2025","Friday, July 11, 2025","Monday, August 04, 2025",Late,A,,
3987,NW4532E,Mr M N Paulsen ,EFF ,Electricity and Energy,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 31, 2025",Late,A,,
3988,NW4533E,Ms M Dlamini ,EFF ,Health,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
3989,NW4534E,Ms M Dlamini ,EFF ,Basic Education,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
3990,NW4535E,Ms M Dlamini ,EFF ,Public Works and Infrastructure,"Friday, June, 27, 2025","Friday, July 11, 2025","Wednesday, July 23, 2025",Late,A,,
3991,NW4536E,Mr E Mthethwa ,EFF ,"Sport, Arts and Culture","Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 03, 2025",Timeous,A,,
3992,NW4537E,Mr E Mthethwa ,EFF ,Communications and Digital Technologies,"Friday, June, 27, 2025","Friday, July 11, 2025","Wednesday, July 09, 2025",Timeous,A,,
3993,NW4538E,Mr S Lonzi ,EFF ,Basic Education,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
3994,NW4539E,Mr R A P Trollip ,ActionSA ,Transport,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 11, 2025",Timeous,A,,
3995,NW4540E,Mr R A P Trollip ,ActionSA ,Human Settlements,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
3996,NW4541E,Mr R A P Trollip ,ActionSA ,Cooperative Governance and Traditional Affairs,"Friday, June, 27, 2025","Friday, July 11, 2025","Monday, July 21, 2025",Late,A,,
3997,NW4542E,Ms L M Ngobeni ,ActionSA ,Defence and Military Veterans,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
3998,NW4543E,Ms L M Ngobeni ,ActionSA ,Basic Education,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
3999,NW4544E,Dr T K S Letlape ,ActionSA ,Health,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
4000,NW4545E,Dr T K S Letlape ,ActionSA ,Health,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
4001,NW4546E,Ms D E James ,ActionSA ,Justice and Constitutional Development,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 18, 2025",Late,A,,
4002,NW4547E,Ms M P Kobe ,ActionSA ,"Forestry, Fisheries and the Environment","Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
4003,NW4548E,Ms M P Kobe ,ActionSA ,Public Works and Infrastructure,"Friday, June, 27, 2025","Friday, July 11, 2025","Monday, July 14, 2025",Late,A,,
4004,NW4549E,Ms M P Kobe ,ActionSA ,Water and Sanitation,"Friday, June, 27, 2025","Friday, July 11, 2025","Monday, July 21, 2025",Late,A,,
4005,NW4550E,Mr A D Beesley ,ActionSA ,Finance,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 11, 2025",Timeous,A,,
4006,NW4551E,Mr A D Beesley ,ActionSA ,Cooperative Governance and Traditional Affairs,"Friday, June, 27, 2025","Friday, July 11, 2025","Monday, July 14, 2025",Late,A,,
4007,NW4552E,Mr S L Ngcobo ,IFP ,Basic Education,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
4008,NW4553E,Mr S L Ngcobo ,IFP ,Employment and Labour,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 18, 2025",Late,A,,
4009,NW4554E,Ms N H Mhlongo ,IFP ,Health,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
4010,NW4555E,Mr N M Hadebe ,IFP ,Water and Sanitation,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 10, 2025",Timeous,A,,
4011,NW4556E,Mr S L Ngcobo ,IFP ,Public Works and Infrastructure,"Friday, June, 27, 2025","Friday, July 11, 2025","Monday, July 14, 2025",Late,A,,
4012,NW4557E,Mr S S Zondo ,IFP,"Science, Technology and Innovation","Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
4013,NW4558E,Mr B N Luthuli ,IFP ,Small Business Development,"Friday, June, 27, 2025","Friday, July 11, 2025","Monday, July 21, 2025",Late,A,,
4014,NW4559E,Inkosi R N Cebekhulu ,IFP ,Defence and Military Veterans,"Friday, June, 27, 2025","Friday, July 11, 2025","Tuesday, July 15, 2025",Late,A,,
4015,NW4560E,Ms B E Machi ,IFP ,Home Affairs,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 10, 2025",Timeous,A,,
4016,NW4561E,Inkosi R N Cebekhulu ,IFP ,Police,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, August 21, 2025",Late,A,,
4017,NW4562E,Mr D D D van Rooyen ,MK ,Finance,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 04, 2025",Timeous,A,,
4018,NW4563E,Mr W M Douglas ,MK ,International Relations and Cooperation,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 11, 2025",Timeous,A,,
4019,NW4564E,Mr W M Douglas ,MK ,International Relations and Cooperation,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 11, 2025",Timeous,A,,
4020,NW4566E,Mr Z E Mthethwa ,MK ,Land Reform and Rural Development,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 18, 2025",Late,A,,
4021,NW4567E,Mr N I Nxumalo ,MK ,Transport,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 11, 2025",Timeous,A,,
4022,NW4568E,Mr T L Montana ,MK ,Transport,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 11, 2025",Timeous,A,,
4023,NW4569E,Mr T L Montana ,MK ,Transport,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 11, 2025",Timeous,A,,
4024,NW4570E,Mr T L Montana ,MK ,Transport,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 11, 2025",Timeous,A,,
4025,NW4571E,Ms N M Gasa ,MK ,Basic Education,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
4026,NW4572E,Mr G Taaibosch ,MK ,Finance,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 24, 2025",Late,A,,
4027,NW4573E,Mr G Taaibosch ,MK,"Trade, Industry and Competition","Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 11, 2025",Timeous,A,,
4028,NW4574E,Mr E K Madlala ,MK ,Mineral and Petroleum Resources,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 11, 2025",Timeous,A,,
4029,NW4575E,Mr M K B Molefe ,MK ,Finance,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 24, 2025",Late,A,,
4030,NW4576E,Mr T S Mjadu ,MK ,"Science, Technology and Innovation","Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
4031,NW4577E,Mr M M Gasa ,MK ,Police,"Friday, June, 27, 2025","Friday, July 11, 2025","Tuesday, July 22, 2025",Late,A,,
4032,NW4578E,Mr V G Reddy ,MK ,Water and Sanitation,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 10, 2025",Timeous,A,,
4033,NW4579E,Mr V G Reddy ,MK ,Police,"Friday, June, 27, 2025","Friday, July 11, 2025","Tuesday, July 22, 2025",Late,A,,
4034,NW4580E,Mr T I Gamede ,MK ,Human Settlements,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
4035,NW4581E,Mr T I Gamede ,MK ,Human Settlements,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
4036,NW4582E,Mr I Cameron ,DA ,Police,"Friday, June, 27, 2025","Friday, July 11, 2025","Tuesday, July 22, 2025",Late,A,,
